,Query,Description
90,Artificial Intelligence Expert @ HyperVerge Inc.,job description reporter wsj pro artificial intelligence wsj pro unit wall street journal provides specialized news analysis data professional audience seek reporter focus one hottest area technological change artificial intelligence investment ai technology rise dramatically coming year business practice transformed wsj pro artificial intelligence serve executive need understand technology enable business effectively implemented reporter position would cover artificial intelligence business lens reporting analyzing company adopting ai business strategy 're putting technology operation ai changing business practice industry challenge company finding 're looking enterprising journalist bursting idea energetic seeking new source able thrive collaborative team environment reporter business journalist experience covering ai technology broadly ability write clearly concisely complex topic business-minded audience must li-ja1-wsj dow jones making career newsworthy qualified applicant receive consideration employment without regard race color religion sex national origin protected veteran status disability status eeo/aa/m/f/disabled/vets dow jones committed providing reasonable accommodation qualified individual disability job application and/or interview process need assistance accommodation completing application due disability please reach u talentresourceteam @ dowjones.com please put “ reasonable accommodation '' subject line business area news/wsj u wall street journal global news organization provides leading news information commentary analysis wall street journal engages reader across print digital mobile social video building heritage preeminent source global business financial news journal includes coverage u.s. world news politics art culture lifestyle sport health hold 36 pulitzer prize outstanding journalism wall street journal published dow jones division news corp nasdaq nw nwsa ; asx nw nwslv require assistance completing online application please contact talent management team application help talentresourceteam @ dowjones.com job _req_ 13011
91,Artificial Intelligence Expert @ GE,job description wsj pro unit wall street journal provides specialized news analysis data professional audience seek senior editor oversee new product focused one hottest area technological change artificial intelligence investment ai technology rise dramatically coming year business practice transformed wsj pro artificial intelligence serve executive need understand technology enable business effectively implemented journalist position serve lead editor wsj pro artificial intelligence include daily newsletter series event exclusive content providing practical analysis risk opportunity ai product follows success wsj pro cybersecurity applies similar business focus another area technological disruption wsj pro artificial intelligence deputy editor guide coverage ai new product working closely rest wsj pro team broader wsj newsroom editor play important role immediately helping launch newsletter plan inaugural conference editor also hire develop manage reporter dedicated ai coverage wsj pro 're looking experienced editor background business tech journalism edit report targeted audience mind way sophisticated accessible editor able help reporter hone idea think creatively coverage also expect editor become known authority field ai set source regular stream story li-ja1-wsj dow jones making career newsworthy qualified applicant receive consideration employment without regard race color religion sex national origin protected veteran status disability status eeo/aa/m/f/disabled/vets dow jones committed providing reasonable accommodation qualified individual disability job application and/or interview process need assistance accommodation completing application due disability please reach u talentresourceteam @ dowjones.com please put “ reasonable accommodation '' subject line business area news/wsj u wall street journal global news organization provides leading news information commentary analysis wall street journal engages reader across print digital mobile social video building heritage preeminent source global business financial news journal includes coverage u.s. world news politics art culture lifestyle sport health hold 36 pulitzer prize outstanding journalism wall street journal published dow jones division news corp nasdaq nw nwsa ; asx nw nwslv require assistance completing online application please contact talent management team application help talentresourceteam @ dowjones.com job _req_ 13261
92,Artificial Intelligence Expert @ LinkedIn,multiple tenured/tenure-track faculty position artificial intelligence machine learning rensselaer – ibm research partnership http //rpijobs.rpi.edu/postings/6807 rensselaer polytechnic institute troy ny embarking ambitious expansion computational science engineering research education focus creating research cluster area _artificial intelligence ai machine learning ml _ seek application outstanding candidate rank assistant associate full professor build upon existing strength related area across school science engineering humanity art social science management architecture faculty member academic appointment five school rensselaer depending candidate ’ background interest potential collaboration seek candidate research area include fundamental advance ai machine learning theory learning novel ai algorithm architecture software engineering principle ai system including topic scalability robustness fairness verification addition fundamental ai area interest include limited application ai ml cybersecurity cyber-physical system iot edge-computing autonomous system ideal candidate develop scientific program ai also work researcher making contribution use ai machine learning addressing global challenge energy built environment climate science advanced manufacturing critical infrastructure supply chain management art life science system biology applicant senior tenured position must posse outstanding record research accomplishment strong commitment teaching applicant tenure-track assistant professor position must show evidence emerging research distinction high level dedication teaching minimum candidate must ph.d. foreign degree equivalent computer science engineering appropriate field proposed research along ability demonstrate record promise future distinction scholarship education successful candidate duty include teaching graduate undergraduate course developing maintaining robust program research scholarship service department rensselaer seek highly collaborative applicant strong technical vision focus emerging 21st century technology challenge _we welcome candidate bring diverse intellectual geographical gender ethnic perspective rensselaer ’ work campus communities._ _rensselaer polytechnic institute affirmative action/equal opportunity race/gender/veterans/disability employer._ job posted date order receive full consideration must apply job close date new/replacement position new additional information
93,Artificial Intelligence Expert @ Mastercard,reach new revenue-generating height sale googler business partner google come shape size market cap one google advertising solution work knowledge online medium combined communication skill analytical ability shape new existing business grow leverage entrepreneurial drive target educate persuade new customer embrace google 's latest advertising product technology using influencing relationship-building skill provide google-caliber client service research market analysis anticipate decision made understand detail individual campaign persistently explore uncover business need key client working set vision strategy advertising reach thousand user agency associate manager 'll serve ambassador advertising industry manage google ’ relationship key advertising industry trade association u role work closely cross-functional team like sale product policy marketing partnership communication drive progress build consensus communicate google ’ perspective external partner 'll opportunity work important challenge facing ad industry today artificial intelligence measurement brand safety consumer privacy ad fraud ad blocking knowledgeable google ’ ad product fit larger ad ecosystem self-starter entrepreneurial curious great people skill also strong communicator/presenter ability combine creativity organizational skill manage numerous project tight deadline also team player get thing done delivers result google ’ global partnership team work wide range partner bring best google power business team partner publisher app developer size promote ad inventory working google 's broad range partner solution including adsense admob google ad manager across mobile display video format helping partner audience get web addition partnership team support google ’ product team essential partnership help power google ’ user experience search map travel shopping payment responsibility manage relationship key advertising trade association meeting regularly organization contact work closely cross-functional internal team sale product marketing policy partnership communication stay coordinated industry challenge highlight relevant opportunity google team create engagement plan partner ensure google effectively involved key area monitor developing industry trend serve bellwether company help plan google ’ presence key industry conference attend conference extract learning manage allocate budget toward initiative align google ’ priority maximize impact qualification minimum qualification ba/bs degree equivalent practical experience 2 year experience working advertising medium industry preferred qualification experience working sale digital social medium marketing consulting medium specific industry experience working fast-paced agency environment established relationship presence within agency marketplace google ’ accept difference - celebrate support thrive benefit employee product community google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicant regardless criminal history consistent legal requirement disability special need requires accommodation please let u know recruitment agency google doe accept agency resume please forward resume job alias google employee company location google responsible fee related unsolicited resume
94,Artificial Intelligence Expert @ Amazon,description 1800flowers.com seeking event associate work carle place ny long island office event associate responsible scaling harry & david hosted dinner program planning executing start finish experiential event primary point contact harry & david event develop partnership local venue restaurant business owner coordinate social influencers successfully host monthly event responsibility include limited coordination management logistics harry & david hosted dinner on-site support event research venue option partner local restaurant dinner event reach social influencers develop partnership social medium develop maintain social medium content promote dinner brand manage maintain archive event file record requirement requires bachelor 's degree 2-3years experience third party in-house event management team preferred working knowledge event hospitality/meeting planning industry reliable self-starter problem-solver us critical thinking skill choose appropriate course action excellent written verbal communication skill ability build strong relationship cross functional team third-party vendor ability meet deadline stay organized manage several project fast-paced environment strong skill working microsoft office application word excel powerpoint particularly excel ability work flexible schedule occasional evening/or weekend travel u 1-800-flowers.com inc. leading provider gift celebratory occasion past 40 year 1-800-flowers.com® ha helping deliver smile customer 100 smile guarantee® backing every gift 1-800-flowers.com inc. family brand also includes everyday gifting entertaining product harry & david® popcorn factory® cheryl 's cookies® 1-800-baskets.com® wolferman's® moose munch® premium popcorn personalization universe® simply chocolatesm fruitbouquets.com sm company also offer top-quality steak chop stock yards® gift basket tower designpac gift llc division loyalty program celebration passport® celebration rewards® celebration reminders® designed deepen relationship customer across brand company 's bloomnet® international floral wire service napco sm floral gift seasonal décor division provide broad-range product service designed help professional florist grow business profitably 1-800-flowers.com inc. wa named stores® 2017 hot 100 retailer list national retail federation also received gold award `` best artificial intelligence '' category data & marketing association 's 2017 international echo award share 1-800-flowers.com inc. traded nasdaq global select market ticker symbol flws
95,Artificial Intelligence Expert @ Capgemini,set vision direction design new digital product research maintain twdc ’ reputation performance extraordinary commitment quality partner advanced technology leader companywide develop integrated product solution advancement across content development delivery value chain us visionary skill inspire advanced research team develop deliver creative solution face ever-evolving digital landscape lead resource allocation decision digital product development within advanced research group partner senior technology leadership transition project r & ; production deployment manages company-wide r & ; portfolio existing product creation framework existing product new product development open innovation platform deep understanding ott video virtual/augmented reality voice assistants/navigation wearable device iot artificial intelligence machine vision 15+ year demonstrated experience managing large complex development project inception completion experienced agile project management continuous development proven ability coach lead team executes consistently rapidly effectively experience identifying developing implementing tool process empower team collaboration bamtech medium place creative bold ’ seeking talent across discipline join team whether new york city san francisco manchester amsterdam provide opportunity elevate career transform industry bamtech leading technology service video streaming company owned walt disney company mlbam national hockey league proprietary technology provides direct-to-consumer video solution especially live event high viewership offering viewer high-quality visuals time device reporting evp & cto disney streaming service vice president advanced research advance consumer interact digital medium use innovative technology positioned confluence streaming video interactivity big data traditional storytelling leader create sustainable digital advantage development technology ott video virtual/augmented reality voice assistants/navigation wearable device iot artificial intelligence machine vision 583097
96,Artificial Intelligence Expert @ Siemens Technology India,note applying position application automatically submitted following location los angeles ca usa ; ann arbor mi usa ; chapel hill nc usa ; kirkland wa usa ; portland usa ; washington dc usa ; seattle wa usa ; mountain view ca usa ; cambridge usa ; madison wi usa ; san francisco ca usa ; boulder co usa ; san bruno ca usa ; new york ny usa ; pittsburgh pa usa ; chicago il usa research happens across google everyday many different team research ha already impacted user-facing service across google including search map google google ai team actively pursuing next generation intelligent system application even google product achieve ’ working project utilize latest technique machine learning artificial intelligence ’ looking student demonstrated research background contribute research research differently research scientist n't cloistered lab instead work closely software engineer discover invent build largest scale idea may come internal project well collaboration research program partner university technical institute world creating experiment prototyping implementation designing new architecture research scientist software engineer work challenge artificial intelligence machine perception data mining machine learning natural language understanding much stay connected research root contributor wider research community partnering university publishing paper always information research team quest find new way make accessible useful 're constantly refining signature search engine provide better result developing enhancing offering 're providing user around world great search result every day google great n't good enough 're getting started google always engineering company hire people broad set technical skill ready take technology 's greatest challenge make impact million billion user google engineer revolutionize search routinely work massive scalability storage solution large-scale application entirely new platform developer around world google ad chrome android youtube social local google engineer changing world one technological achievement another responsibility participate cutting edge research machine intelligence machine learning application develop solution real world large scale problem qualification minimum qualification must currently enrolled b phd degree program computer science related technical field equivalent practical experience must returning program completion internship experience classroom work related natural language understanding neural network computer vision machine learning deep learning algorithmic foundation optimization data science data mining and/or machine intelligence artificial intelligence experience one general purpose programming language including c/c++ java matlab python experience research community and/or effort including publishing paper listed author conference nip icml acl cvpr etc preferred qualification relevant work experience including full time industry experience researcher lab strong publication record four publication conference nip icml acl cvpr etc ability design execute research agenda google ’ accept difference - celebrate support thrive benefit employee product community google proud equal opportunity workplace affirmative action employer committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity veteran status also consider qualified applicant regardless criminal history consistent legal requirement disability special need requires accommodation please let u know recruitment agency google doe accept agency resume please forward resume job alias google employee company location google responsible fee related unsolicited resume
97,Artificial Intelligence Expert @ Zinier,overview belstone fast-growing technology-led merchant bank drive capital private company fueling economy creating new job advancing innovation team comprised veteran top global private equity investment banking firm advanced technologist background machine learning artificial intelligence work deep alignment client-partners make extensive use proprietary data software system drive top-of-market result apply ideal candidate currently pursuing undergraduate master ’ degree united state outstanding record academic achievement ability work fast-paced deal environment interest finance entrepreneurship private capital market program looking intern support deal-related activity multiple live transaction internship program ha flexible start date minimum ten-week commitment designed concurrently university coursework guidance experienced belstone deal professional intern gain first-hand understanding dynamic surrounding private capital transaction belstone ’ modern merchant banking model core responsibility include generating investor list compiling data research support live deal constructing preliminary financial summary drafting preliminary diligence question apply please submit resume cover letter [ email protected ] subject line `` interning belstone capital – [ full name ] [ university affiliation ] '' please also indicate email came across belstone internship opportunity
98,Artificial Intelligence Expert @ DXC Technology,job description programmatic partnership lead ppl individual contributor sell programmatic data technology/ai solution watson advertising programmatic team advertiser agency publisher given rapidly changing industry programmatic ai ppl business development professional experienced coming creative solution client internally weather company ppl tasked dealing challenging obstacle business technology deal making positive can-do-anything attitude must seller operator persuade client buy solution navigate complex organization execute solution consultative seller develop relationship client figure solution solve client ’ problem entrepreneur build book business establish goal beat goal collaborative team player work different functional team across watson advertising organization including product operation legal looking someone whose 1 priority winning watson advertising ibm team goal ppl work ibm colleague outside watson advertising interested work others ppl selling medium first party data technology must comfortable learning across wide spectrum technology looking someone set example others humble genius always looking solution gather support others successfully solve client ’ problem ppl deal smart people across organization whose opinion might opposite opinion ppl must work well get support whose opinion different twc required technical professional expertise proven experience programmatic online advertising operational sale perspective 10+ year experience digital advertising least 3-5 year programmatic medium strong understanding programmatic landscape challenge marketplace understanding challenge up-to-date advertiser ’ programmatic need ability communicate complex technical product feature simple term high degree creativity self-motivation drive eagerness work dynamic environment rapidly changing willing reach programmatic buyer develop relationship professional demeanor strong oral written presentation skill preferred tech prof experience knowledge artificial intelligence eo statement ibm committed creating diverse environment proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status ibm also committed compliance fair employment practice regarding citizenship immigration status
99,Artificial Intelligence Expert @ Accenture,description member real-time operation team role proactively monitor state contact center information technology operation includes proactive analysis performance operational channel include telephone chat email social medium ensure key performance indicator maintained identifying opportunity improvement prevent outage occur essential duty responsibility include limited contact center workload distribution one essential function role effectively use current tools/processes distribute workload efficiently possible within goal service level also includes maintaining expert level understanding tools/processes continuously identify opportunity automation/optimization highlight proactively monitor telephonic/staffing dashboard incontact & inview user interface ensure efficient distribution call proactively communicating leadership partner group ensure stakeholder aware sla attainment risk work closely workforce management team identify variance agent labor-force coordinate remediation applicable historically analyses/recommend opportunity improvement efficiency workload distribution liaison operation workforce management reporting senior leadership regarding operational performance incident management / communication given nature role incident occur time time matter nature incident role work rest real-time operation team quantify/mitigate business impact includes ensuring appropriate stake holder properly updated relevant fact timely basis proactive / predictive system management member real-time operation team may occasion first see early sign possible issue occasion important role good high-level understanding infrastructure application landscape assist quickly triaging potential issue effectively communicating conversely time issue may directly/indirectly negative business impact occasion important role work closely telecom help desk team effectively coordinate remediation effective communication task responsibility real-time operation team example task include manually creating various report distributing appropriate team aside assisting performance manual task role proactively play role helping identify way automate manual function applicable special project system testing deemed necessary requirement minimum knowledge skill and/or ability required perform following job function ability solve problem tactical functional level excellent oral written communication skill solid work ethic unquestioned integrity experience using microsoft office must sa experience preferred comfortable high-energy/dynamic real time operational role requirement successfully interface various level management goal-oriented/self-motivated able work minimal supervision hands-on experience following a-plus open flexible schedule accommodate 24x7x365 operation must open working evening weekend however working saturday must u 1-800-flowers.com inc. leading provider gift celebratory occasion past 40 year 1-800-flowers.com® ha helping deliver smile customer 100 smile guarantee® backing every gift 1-800-flowers.com inc. family brand also includes everyday gifting entertaining product harry & david® popcorn factory® cheryl 's cookies® 1-800-baskets.com® wolferman's® moose munch® premium popcorn personalization universe® simply chocolatesm fruitbouquets.com sm company also offer top-quality steak chop stock yards® gift basket tower designpac gift llc division loyalty program celebration passport® celebration rewards® celebration reminders® designed deepen relationship customer across brand company 's bloomnet® international floral wire service napco sm floral gift seasonal décor division provide broad-range product service designed help professional florist grow business profitably 1-800-flowers.com inc. wa named stores® 2017 hot 100 retailer list national retail federation also received gold award `` best artificial intelligence '' category data & marketing association 's 2017 international echo award share 1-800-flowers.com inc. traded nasdaq global select market ticker symbol flws
100,Deep Learning Expert @ Amazon,job summary role support marketing digital finance america zone training within corporate learning team person oversee logistics program including deep dive training cosmetic hair color skincare among others also support partnership digital power player exciting companywide initiative role ha high visibility l ’ oréal business strategic priority across brand great exposure partner marketing digital finance person role gain valuable experience best-in-class training employee development department emphasis organization ’ current digital transformation great role someone interested pursuing career marketing digital public relation learning key job accountability program support liaise vendor venue logistics coordinate program catering networking event coordinate prepare ship material program compose send post-program feedback form formetris maintain course session hr system prism & unity set-up breakdown program venue participant packet supply product decor a/v & manage catering etc create develop program booklet ensuring content relevant aesthetic consistent team branding gather maintain product supply inventory make recommendation constantly improve program quality customer service trainee team coordination provide support internal meeting international colleague visit maintain shared drive file including team calendar maintain list recipient year-end thank gift presenter stakeholder assist gift distribution plan quarterly team inspiration walks/offsites constantly audit way work make recommendation improved efficiency cost cutting time saving etc special project assigned build portfolio experience job requirement candidate must received bachelor ’ degree within last 12 month must graduated master ’ degree within last 12 month gap 5 month education history posse 3.0 gpa higher prior internship office experience preferred excellent organizational skill keen eye attention detail proven ability independently handle multiple task fast-paced environment must able problem solve adapt quickly changing circumstance strong verbal communication writing interpersonal skill along ability form strong cross-functional relationship must team player mindset actively take initiative strong work ethic self-motivated curious sense confidentiality “ customer service ” orientation ability escalate issue appropriate computer proficiency including microsoft office suite product including microsoft office – excel word powerpoint microsoft outlook email calendar contact scheduling task management required demonstrated use analytical skill – using tool ex excel business object etc problem solving/critical thinking skill summary describes general nature work performed exhaustive list responsibility duty skill required incumbent position position non-exempt flsa eligible straight time 40 hour overtime paid accordance flsa regulation working 40 hour weekly period equal opportunity employer take pride diverse environment discriminate recruitment hiring training promotion employment practice reason race color religion gender sexual orientation national origin age marital veteran status medical condition disability legally protected status require reasonable accommodation complete application recognized disability applicable law please email usapplicationaccommodation @ support.lorealusa.com please note email respond specific request assistance completing application request accommodation disability others considered
101,Deep Learning Expert @ IBM,starting rate $ 18.50/hour doe best buy general warehouse worker ? general warehouse worker facilitate moving product throughout distribution center use equipment area receiving stocking shipping non-con order processing replenishment responsibility include operating equipment safe manner making sure maintaining safe clean working area ensuring product perfect condition sell customer responsibility listed encompassing general warehouse worker may vary departmental assignment essential function unload process receipt merchandise inbound truck stock merchandise ha received specific designated location process order locating specified product moving product loading dock pack smaller product larger container shipment store load merchandise onto truck shipment company location maintains clean work area removing empty pallet sweeping cleaning box debris must able pas applicable certification driving requirement become licensed operating equipment rdc non-essential function perform duty apparent assigned professional requirement general warehouse worker ? basic qualification able individually lift maneuver 40 lb frequently repetitively maximum 75 lb ; without reasonable accommodation preferred qualification high school diploma equivalent reward benefit ? discover career ! geek squad best buy offer much paycheck surrounded latest greatest technology team amazing coworkers work environment anything possible ’ find easy best work u provide exciting work environment community techno learner investing career empowered knowledge discover endless opportunity grow deep employee discount tuition reimbursement health wealth wellness benefit learning development program believe success company depends passion employee learning technology people
102,Deep Learning Expert @ Gojek,looking researcher join newly formed team specializing deep learning deep learning team split time fundamental research deep learning algorithmic system application finance part team ’ remain connected broader research community partnering external collaborator publishing paper minimum qualification master phd computer science expertise machine learning focus deep learning intermediate programming skill java c++ python financial experience requirement preferred qualification strong publication record open source contribution deep learning related area experience working practical application using real-world datasets
103,Deep Learning Expert @ Zycus,functional area fa - finance estimated travel percentage relocation provided aig pc global service inc position summary science team aig develops ai-first product apps service use machine learning _inform_ _assist_ user insurance investment arm aig mainly achieved incubation disruptive innovation via scientist engineer designer working together machine learning r & publication top ai/ml conference journal provision machine-learning advisory / consulting aig 's global business resulting solution innovation aim reinvent aig ’ internal process improve aig ’ offering client line company ’ mission client ’ valued insurer ultimately disrupt wider insurance industry critical role science ’ success looking hire deep learning scientist join team contribute development implementation algorithmic core series exciting new product / project currently hiring deep learning scientist across following theme name natural language processing nlp deep reinforcement learning unsupervised learning generative model computer vision recurrent neural network sequence learning sequence analysis exciting opportunity want enjoy state-of-the-art r & challenged grow deep learning scientist ; along way role contribute game-changing product multi-trillion- dollar insurance industry use aig ’ world ’ largest insurer many metric global network deliver impact change responsibility performance objective employ best deep learning research solving business problem - disrupting current practice insurance investment build refine deep learning algorithm find “ useful ” pattern large multi-modal data particularly image text conversation transactional data provide business new product idea well data-driven apps insight strategy communicate oral written colleague stakeholder internal external senior candidate lead inspire mentor junior scientist research assistant / intern required attribute senior candidate e.g year post-doctoral and/or commercial experience junior candidate welcome apply ; offer position appropriate expertise level experience minimum required skill include advanced degree numeric discipline e.g statistic machine learning computer science engineering physic completion one significant project equivalent phd research project and/or viable commercial product one hiring theme scientific expertise strong track record real-world experience deep learning especially hands-on experience hyper-parameter tuning deep construction / distribution e.g architecture design dnn/cnn/rnn parameter initialization activation normalization optimization expertise programming e.g python c++ computing technology high-performance computing e.g cuda ability use existing deep / machine learning library e.g tensorflow torch theano caffe scikit-learn experience data platform aspect project review direct guide inspire research junior scientist team especially applicable senior candidate ideal candidate required also track record integrating deep learning real-time computing including mobile apps front-end system experience employing deep learning commercial setting – collaboration product development team publication record willingness represent aig top machine learning journal e.g ai tpami ijcv jmlr conference e.g nip icml cvpr iccv eccv acl emnlp iclr ijcv experience working engineering design / product team broad knowledge machine learning including topic graph theory hierarchical modeling bayesian inference practical experience modern big-data computing ecosystem e.g apache spark ability engage business stakeholder excellent oral written communication skill ha continue policy american international group inc. subsidiary affiliate equal opportunity employer provide equal opportunity qualified individual regardless race color religion age gender gender expression national origin veteran status disability legally protected category aig believe diversity inclusion critical future mission – creating foundation creative workplace lead innovation growth profitability wide variety program initiative invest employee seeking ensure people respected individual also truly valued unique perspective
104,Deep Learning Expert @ HyperVerge,new york city 's top-performing fastest-growing charter school network fundamentally reshaping public education ensure long- lasting change school model prepare current future generation child background subject mastery skill succeed college life reconceived every aspect school design elementary high school meet challenge success ha launched education institute drive organization-wide training development strategy adult learner ed institute provides sophisticated digital environment housing innovative scholar curriculum adult e-learning course training resource — combined in-person practice coaching foundational approach adult learning ed institute give u capacity train thousand educator well spur innovation share model best practice charter management organization district around country bring critically important endeavor scale success seek hire learning management system administrator administer learning management system lm youngest learner scholar successful candidate responsible instructional technology vendor management project management data management individual work closely member ed institute team technology professional ensure learning system leveraged success maintained eye scaling future reporting director learning technology learning management system administrator responsible owning aspect learner enrollment lm critical component learning ecosystem build full learning technology stack ; defining documenting process ; documenting platform system standard operating procedure ; coordinating communication plan dealing policy procedure operational status lm software stakeholder ; serving point escalation system issue administrative aspect important process lm including managing user group user permission notification configuration ; actively participating industry forum staying current new technology application learning learning management system administrator someone who… ha 4+ year ’ experience learning management system administration must include experience administrator canvas including course deployment user support system analytical reporting content management technical documentation ; ha demonstrated experience lti / api integration ; ha demonstrated experience scorm and/or xapi standard ; code basic must include minimum html cs ; posse deep understanding component feature function canvas ; ha experience project management meeting multiple deadline ; communicates clearly effectively colleague internal customer vendor ; actively participates process information exchange ; results-oriented concerned quality ; analytical thinker problem-solver ; exhibit high level grit determination ; learner ; committed education reform join team please upload cover letter resume outline candidacy cover letter explain detail qualification position resume without cover letter reviewed success academy charter school equal opportunity employer actively encourages application people background compensation competitive commensurate experience success academy offer full benefit program opportunity professional growth
105,Deep Learning Expert @ Predible Health,position summary accept position discovery education at- employee discovery education eligible discovery education benefit compensation plan role discovery inc. position role discovery education build strategic partnership school district transform teaching learning implementation engaging standards-based k-12 digital curriculum delivery intensive professional learning engagement within global community customer experience team play critical role achieving goal providing best customer experience education demonstrating educational impact needed retain grow district partnership manager professional learning responsible strategic management growth paid professional learning delivery assigned account associated region manager professional learning responsible working senior school district staff ensure aspect paid professional learning exceed customer expectation flawlessly planning delivering merchandising purchased professional learning within discovery education manager professional learning ensure successful execution model professional learning truly make impact k-12 district ’ teaching learning embedding discovery education digital service instruction manager professional learning act expert thought leader related research pedagogical grounding professional learning methodology customer responsibility post-sale professional learning cycle 1\ lead manage flawlessly deliver paid professional learning service assigned account 2\ ensure quality consistent level internal external communication maintained account 3\ continually monitor measure success feedback mechanism ensure de meeting expectation district educator fostering strong relationship 4\ lead manage regional account ensure deep relevant engagement strategic customer region 5\ demonstrate program impact secure renewal growth scope professional learning contract digital service subsequent year 6\ maintain share discovery education ’ strategic vision goal impact story customer 7\ work collaboratively communicate often key member customer success team regional partnership account service team understand full customer experience know pd seamlessly integrates customer experience discovery education management current professional learning offering 1\ constantly evaluate report upon customer specialist feedback improve content and/or delivery current professional learning portfolio program assigned account 2\ work regional partnership team forecast manage pipeline program 3\ work ensure pd scheduled consistently customer lagging delivery plan successful professional learning experience 4\ work director professional learning adhere travel expense budget 5\ participate regular regional strategic data review including kpis survey usage business metric seek well prepared innovative possible solution based customer feedback assigned account 6\ identification analysis account trend development new professional learning offering 1\ ass feedback trend market offering delivery medium ensure leading introduction research-driven transformative professional learning 2\ work closely director professional learning provide market customer feedback potentially lead development new program supporting operational commercial plan 3\ stay abreast innovation learning methodology research-based best practice adult learning theory 4\ maintain current deep level knowledge industry trend curriculum topic challenge 5\ stay alert opportunity customer feel sense customization personalization internally scalable efficient merchandising marketing 1\ ensure artifact evidence qualitative quantitative data collected account provide quality feedback customer foster success digital learning journey 2\ ensure aspect professional learning delivery brand represent power value discovery education customer well stay true customer ’ goal 3\ execute upon use storytelling marketing strategy toolkit artifact metric purpose merchandising upselling supporting renewal assigned account improve efficiency scalability 1\ effectively correctly use operational element professional learning delivery including system tool communication management reporting 2\ work across region maximize use usability salesforce crm 3\ work closely customer success team monitor usage related pd delivery ensure customer goal achieved service deeply embedded quality instructional practice 4\ reflect upon pd delivery practice look way increase customer success increase effectiveness efficiency delivery general 1\ maintain understanding industry trend current event anything may impact business reading professional publication researching available prospect/product resource participating professional organization 2\ demonstrate exceptional interpersonal organizational presentation skill 3\ understand new technology industry trend able speak impact discovery education 4\ read professional literature regularly contribute thought-leader educational expert de 5\ establish strong relationship associated account de colleague aligned region across business 6\ use de resource wisely ensure maximum impact look opportunity reduce cost ensure successful customer experience 7\ maintain deep current knowledge product value added offering discovery education requirement advanced degree preferred master ’ degree equivalent combination skill training experience teaching experience ; leadership administrative experience strongly preferred least 6-8 year experience role increasing responsibility experience leading professional learning implementation school district level thorough working knowledge pedagogy professional learning tie education community including ability navigate political landscape public school system strong knowledge experience professional learning thorough working knowledge education technology including digital medium emerging web technology application educational environment impeccable interpersonal presentation organizational verbal/written communication skill background experience education sales/implementation preferred attention detail ability manage diverse workload ability work team fast-paced environment candidate must willing travel approximately 60-70 time seasonal variation candidate must live region manager level position needed must legal right work united state
